id,genre_ids,title,language,overview,popularity,poster_path,vote_average,release_date
335795,"[12, 10751, 10770]",Monster High: The Movie,en,"Clawdeen Wolf, half human and half werewolf, has recently started attending Monster High, a school for monsters in all forms. After quickly befriending her classmates Frankie Stein and Draculaura, Clawdeen feels like she has finally found a place where she can truly be herself, or so she thinks. Soon, a devious plan to destroy Monster High threatens to reveal her real identity and Clawdeen must learn to embrace her true monster heart before it's too late.",1546.471,/tn3GWm0Erehkpur8PUuYWxGpul5.jpg,7.0,2022-10-06
894205,"[28, 14, 27, 10770]",Werewolf by Night,en,"On a dark and somber night, a secret cabal of monster hunters emerge from the shadows and gather at the foreboding Bloodstone Temple following the death of their leader. In a strange and macabre memorial to the leader’s life, the attendees are thrust into a mysterious and deadly competition for a powerful relic—a hunt that will ultimately bring them face to face with a dangerous monster.",1162.181,/jmv7EbqBuEk4V1U7OoSBaxkwawO.jpg,7.2,2022-09-25
831410,"[53, 27, 35, 10770]",Bring It On: Cheer or Die,en,"When a cheer squad practices their routines on Halloween weekend in an abandoned school, they are picked off one by one by an unknown killer.",661.654,/ciRq9QUBpFWNsFKs2opG5tP157.jpg,6.5,2022-09-27
951368,"[53, 10770, 28]",Your Boyfriend Is Mine,en,"Over the objection of his girlfriend, Ben agrees to take a job as the “live in” man servant to a wealthy businesswoman, Amanda, but quickly realizes he has made a deal with the devil, and has put himself and his girlfriend in mortal jeopardy",504.358,/2OOYNZLKjdX8Z5KNyz7zZnHmodJ.jpg,6.8,2022-03-19
936897,"[10770, 9648]",Curious Caterer: Dying for Chocolate,en,"Goldy is a spirited single mom who’s thrust into the role of town sleuth to help solve a friend’s mysterious death. With the clock ticking to find the culprit, Goldy strikes up an unlikely partnership with Detective Tom Schultz, who leans into Goldy’s local knowledge. As their relationship shows signs of becoming something more, the suspect list rises. Will Goldy narrow in on the killer before the killer narrows in on her?",529.696,/7quPRcCVUmMBxKO58QwPuIADtYG.jpg,6.3,2022-04-10
726684,"[16, 10751, 12, 14, 28, 10770]",Miraculous World: Shanghai – The Legend of Ladydragon,fr,"On school break, Marinette heads to Shanghai to meet Adrien. But after arriving, Marinette loses all her stuff, including the Miraculous that allows her to turn into Ladybug!",260.916,/qQ0VKsGRQ2ofAmswGNzZnvC1xPE.jpg,7.9,2021-05-15
755812,"[16, 10751, 12, 10770, 14, 28]","Miraculous World: New York, United HeroeZ",fr,"During a school field trip, Ladybug and Cat Noir meet the American superheroes, whom they have to save from an akumatised super-villain. They discover that Miraculous exist in the United States too.",257.876,/9YbyvcrHmY2SVbdfXpb8mC4Fy0g.jpg,8.2,2020-09-25
950618,"[53, 10770]",Sinister Stepsister,en,"Jeff Mitchell seems to have it all. He has an interesting and lucrative job, a loving wife, and two amazing kids. Therefore, life is good. However, on one bright day, a cosmic sucker punch comes out of the blue. When Jeff was in high school, unbeknownst to him, he got his girlfriend pregnant. Next, the girl moved away, had the baby, and raised her as a single mother, never telling her daughter, Carlee, who her real father was. However, Carlee's mother recently died in a tragic accident, prompting Carlee to try and uncover the truth. Maybe Jeff is not so lucky after all?",279.339,/2psm4URqYAF9jSnA1ux8BKmm0EI.jpg,6.7,2022-03-11
809107,"[10402, 14, 35, 878, 10751, 10770]",Z-O-M-B-I-E-S 3,en,"Zed and Addison are beginning their final year at Seabrook High in the town that’s become a safe haven for monsters and humans alike. Zed is anticipating an athletic scholarship that will make him the first Zombie to attend college, while Addison is gearing up for Seabrook’s first international cheer-off competition. Then suddenly, extraterrestrial beings appear around Seabrook, provoking something other than friendly competition.",166.863,/x5cfwMLKdUPbMJeiSoxe9kTXHAD.jpg,7.6,2022-07-09
910365,"[18, 36, 10770]",The Conference,de,"On January 20, 1942, the Wannsee Conference takes place in Berlin, a meeting that had only one item on the agenda: The Final Solution, the organization of the systematic mass murder of eleven million European Jews.",158.869,/55IkZ0dU8JA4400NA5c4YbM51lF.jpg,6.9,2022-05-06
